from_name_mm,to_name_mm,to_name_mm_long_en
Plant density,seed.density,seeding rate
Soil_Fv.AlP,soil_Fv.AlP,"soil [Fv | Al,P]"
Soil_Al.P,soil_Al.P,soil [Al | P]
Soil_P.Al,soil_P.Al,soil P/Al
SoilSeries_G.P,soil_G.P,soil [gley | podzol]
SoilSeries_LG.SG,soil_LG.SG,soil [loam gley | sandy gley]
pH,pH,pH
Texture_C.asS,texture_C.csS,"soil [carbon | clay,silt,sand]"
Texture_a.sS,texture_c.sS,"soil [clay | silt,sand]"
Texture_s.S,texture_s.S,soil [silt | sand]
SDI,SDI,SDI
CTU,CHU,CHU
tMean,tMean,mean temperature
pcpCum,pcpCum,cumulated precipitations
(Intercept).ranef,(Intercept).ranef,Random effect
(Intercept),(Intercept),Intercept
doseP,dose P,dose P
dose.P_sc,dose P sc,dose P scaled
SDI_30,SDI_.30,SDI 0-30 days
CTU_30,CHU_.30,CHU 0-30 days
tMean_30,tMean_.30,mean temperature 0-30 days
pcpCum_30,pcpCum_.30,cumulated precipitations 0-30 days
MaxLeafLength_cm,MaxLeafLength_cm,leaf length â€“ 5 to 6 leaves
amendement.organique,amendement.organique,Organic amendments
hp_log.temoin,hp_log.temoin,Plant height response log ratio
(Intercept).ranef,(Intercept).ranef,Random effect on intercept
CultureSillage,CultureSillage,sillage corn
CultureSweet,CultureSweet,sweet corn
is_manureTRUE,is_manureTRUE,fertilized with manure
P.Source,P source ,P source 
